date,start_time,end_time,region,description
1404/05/16,13:00,15:00,بابرنامه,30- جاده کیاکلا از میدان فاضل تا انتها حوزه بابل روستای کپورچال(شهرک کیا مهر و مهر دشت، اخوان، کلمدان، نخ کلا، سلیمان کلا، قائمیه، کپور چال) و از جاده قایمشهر محله استردیکلا تا ورودی جاده کیاکلا منصور کنده
1404/05/16,13:00,15:00,بابرنامه,18- بسیج 11، کوچه های فجر( مرکزی، جنوبی و غربی)  سلمان فارسی غربی، ابتدای بسیج 1 تا مسجد امام حسین، وکیل محله، همت آباد، شهرک مخابرات، (مالک شرقی 1 تا 13) و (مالک اشتر 1 تا 11)، حسین آباد تا مسجد ابوذر
1404/05/16,13:00,15:00,بابرنامه,61- روستاهای بالا احمد چاله پی، آقاملک، درزیکلای آقا شفیع، دلاورکلا، حمزه رضا، بازیار (بالا و پایین )، قصاب کلا، اله چال تا جاده گاودشت
1404/05/16,13:00,15:00,بابرنامه,33- میدان فاضل تا سلطان محمد طاهر سمت چپ، محمود اباد، شهرک ولیعصر،روستای رمنت (کوچه های فیضیه و گلزار )
1404/05/16,13:02,15:00,بابرنامه,خيابان امام سمت راست از ميدان امام علي تا ميدان انقلاب (ساعت) کوچه هاي نيماي يک تا نيماي چهار و قسمتي از شهرک فاطري - کوچه هاي اسايش - ارامش - عابدي - کوچه بيمارستان کودکان - نشاط - رازي - اطراف بيمارستان مهرگان -  و ابتداي خيابان ابن سينا - چاووشي
1404/05/16,13:02,15:00,بابرنامه,ضلع شمالي کمربندي اميرکلا از ميدان نماز تا ميدان مقريکلا و روستاهاي مقريکلا - کبوتردان - خرد مرد و عزيزک ( میان محله و پایین محله)- فارابی 18 و فارابی 16 کوچه پنجم
1404/05/16,13:20,15:20,بابرنامه,44- نیایش 1 پشت سینما آزادی تا بنیاد حریری، توحید 5، خیابان استادیوم حر 2 تا 7 (توحید 4.1) از محله ضرابپوری تا هاشم آباد کوچه های گلچین و نوریان و استقلال
1404/05/16,15:00,17:00,بابرنامه,43- از چهار راه شهربانی تا میدان ولایت و سبز میدان، خیابان مدرس، پاساژ شهریار و عطر زیستان، آزمایشگاه رازی، کوچه معلوجی، از چهارراه فرهنگ تا نبش سه راه فرهنگ - هلال احمر (ساختمان جهانیان تا دادگستری و باغبان محله)
1404/05/16,15:00,17:00,بابرنامه,65- خجيرکلا، حمزه کلاشش پل، اسبوکلا، درویش خاک (بالا  و پایین)، بوله کلا، اله رودبار تا متی کلا و تا پارک پردیس
1404/05/16,15:00,17:00,بابرنامه,66- شهیدآباد، صلحدارکلا، فکچال و فیروزآباد، قنبرزاده، بزرودپی تا پمپ بنزین شهر خشرودپی
